category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	fdr
GO_CENTRAL_NERVOUS_SYSTEM_MATURATION	1.0	0.9843611792607095	0	7	1.0
GO_CENTRAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE	1.0	0.9891800808570952	0	6	1.0
GO_CENTRIOLE_ASSEMBLY	1.0	0.9146647814079769	0	40	1.0
GO_CENTRIOLE_CENTRIOLE_COHESION	1.0	0.9703121589697605	0	13	1.0
GO_CENTRIOLE_ELONGATION	1.0	0.986820862147609	0	6	1.0
GO_CENTROMERE_COMPLEX_ASSEMBLY	1.0	0.9189682923441326	0	40	1.0
GO_CENTROMERIC_SISTER_CHROMATID_COHESION	1.0	0.9742030259818134	0	12	1.0
GO_CENTROSOME_DUPLICATION	1.0	0.8598032143479157	0	67	1.0
GO_CENTROSOME_SEPARATION	1.0	0.9674054417656416	0	15	1.0
GO_CERAMIDE_1_PHOSPHATE_TRANSPORT	1.0	0.9851052815122036	0	7	1.0
GO_CERAMIDE_BIOSYNTHETIC_PROCESS	1.0	0.871599890230725	0	62	1.0
GO_CERAMIDE_CATABOLIC_PROCESS	1.0	0.9576453434421993	0	20	1.0
GO_CERAMIDE_TRANSPORT	1.0	0.9715475820822964	0	13	1.0
GO_CEREBELLAR_CORTEX_FORMATION	1.0	0.9533864305757406	0	21	1.0
GO_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT	1.0	0.9718545653884839	0	13	1.0
GO_CEREBELLAR_GRANULAR_LAYER_FORMATION	1.0	0.9841631734149713	0	7	1.0
GO_CEREBELLAR_GRANULAR_LAYER_MORPHOGENESIS	1.0	0.9796950397551333	0	9	1.0
GO_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	1.0	0.9462300535832794	0	24	1.0
GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION	1.0	0.9770923424885469	0	10	1.0
GO_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS	1.0	0.9679527070532731	0	14	1.0
GO_CEREBRAL_CORTEX_CELL_MIGRATION	1.0	0.9061636391535466	0	43	1.0
GO_CEREBRAL_CORTEX_DEVELOPMENT	1.0	0.7692773112383142	0	116	1.0
GO_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DEVELOPMENT	1.0	0.9848334306738658	0	7	1.0
GO_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION	1.0	0.9762114118389845	0	11	1.0
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	1.0	0.9476122480536434	0	24	1.0
GO_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	1.0	0.9356842499395792	0	29	1.0
GO_CEREBRAL_CORTEX_REGIONALIZATION	1.0	0.9841988973154763	0	7	1.0
GO_CEREBRAL_CORTEX_TANGENTIAL_MIGRATION	1.0	0.9789653940642059	0	9	1.0
GO_CGMP_BIOSYNTHETIC_PROCESS	1.0	0.9771311659035946	0	11	1.0
GO_CGMP_CATABOLIC_PROCESS	1.0	0.9886154022555224	0	5	1.0
GO_CGMP_MEDIATED_SIGNALING	1.0	0.9320622468079656	0	33	1.0
GO_CGMP_METABOLIC_PROCESS	1.0	0.9635399034298885	0	17	1.0
GO_CHANGES_TO_DNA_METHYLATION_INVOLVED_IN_EMBRYO_DEVELOPMENT	1.0	0.9829191582655843	0	8	1.0
GO_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	1.0	0.9344954621790142	0	31	1.0
GO_CHAPERONE_MEDIATED_AUTOPHAGY	1.0	0.9649348188362747	0	16	1.0
GO_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	1.0	0.9612352130924511	0	19	1.0
GO_CHAPERONE_MEDIATED_PROTEIN_FOLDING	1.0	0.8812108225986562	0	59	1.0
GO_CHAPERONE_MEDIATED_PROTEIN_TRANSPORT	1.0	0.9785056831657951	0	11	1.0
GO_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE	1.0	0.9765101116936218	0	11	1.0
GO_CHEMOKINE_BIOSYNTHETIC_PROCESS	1.0	0.969261596222671	0	16	1.0
GO_CHEMOKINE_C_C_MOTIF_LIGAND_2_SECRETION	1.0	0.9797592698237664	0	10	1.0
GO_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	1.0	0.9779445557517672	0	10	1.0
GO_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	1.0	0.9684507628109421	0	16	1.0
GO_CHEMOKINE_PRODUCTION	1.0	0.8327421761049584	0	91	1.0
GO_CHEMOKINE_SECRETION	1.0	0.9569527494270463	0	23	1.0
GO_CHEMOREPULSION_OF_AXON	1.0	0.9860994000364381	0	6	1.0
GO_CHEMOSENSORY_BEHAVIOR	1.0	0.9629172799487359	0	17	1.0
GO_CHIASMA_ASSEMBLY	1.0	0.9868806860999081	0	6	1.0
GO_CHLORIDE_ION_HOMEOSTASIS	1.0	0.9688925244124075	0	14	1.0
GO_CHOLESTEROL_CATABOLIC_PROCESS	1.0	0.9749019816050704	0	12	1.0
GO_CHOLESTEROL_EFFLUX	1.0	0.905267209471459	0	58	1.0
GO_CHOLESTEROL_STORAGE	1.0	0.9597582989964686	0	19	1.0
GO_CHOLINE_CATABOLIC_PROCESS	1.0	0.9864397083215425	0	6	1.0
GO_CHOLINE_METABOLIC_PROCESS	1.0	0.9798990485757484	0	9	1.0
GO_CHOLINE_TRANSPORT	1.0	0.986333628279549	0	6	1.0
GO_CHONDROBLAST_DIFFERENTIATION	1.0	0.9908830803864598	0	4	1.0
GO_CHONDROCYTE_DEVELOPMENT	1.0	0.9000251813519707	0	46	1.0
GO_CHONDROCYTE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	1.0	0.948471377134389	0	23	1.0
GO_CHONDROCYTE_DIFFERENTIATION_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS	1.0	0.9362771972431181	0	29	1.0
GO_CHONDROCYTE_PROLIFERATION	1.0	0.9687262489713057	0	15	1.0
GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	1.0	0.9423356572454672	0	26	1.0
GO_CHONDROITIN_SULFATE_CATABOLIC_PROCESS	1.0	0.9688632702802293	0	14	1.0
GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	1.0	0.9327029725471361	0	31	1.0
GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	1.0	0.9055094359297382	0	44	1.0
GO_CHORIO_ALLANTOIC_FUSION	1.0	0.9865168148063211	0	6	1.0
GO_CHORION_DEVELOPMENT	1.0	0.9842392494936573	0	7	1.0
GO_CHORIONIC_TROPHOBLAST_CELL_DIFFERENTIATION	1.0	0.9886150824264271	0	5	1.0
GO_CHORIONIC_TROPHOBLAST_CELL_PROLIFERATION	1.0	0.989600106737471	0	5	1.0
GO_CHROMATIN_ASSEMBLY	1.0	0.8181269752628627	0	94	1.0
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	1.0	0.7736716291509684	0	119	1.0
GO_CHROMATIN_DISASSEMBLY	1.0	0.9593437414686711	0	19	1.0
GO_CHROMATIN_MEDIATED_MAINTENANCE_OF_TRANSCRIPTION	1.0	0.9753497193028492	0	11	1.0
GO_CHROMATIN_ORGANIZATION	1.0	0.20719226992195466	0	697	1.0
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	1.0	0.839081492568327	0	80	1.0
GO_CHROMATIN_REMODELING	1.0	0.7129994489622298	0	154	1.0
GO_CHROMATIN_REMODELING_AT_CENTROMERE	1.0	0.9363028196555823	0	32	1.0
GO_CHROMATIN_SILENCING_AT_RDNA	1.0	0.9751224787533059	0	11	1.0
GO_CHROMATIN_SILENCING_AT_TELOMERE	1.0	0.9825540393550055	0	8	1.0
GO_CHROMOSOME_CONDENSATION	1.0	0.9311763793538457	0	33	1.0
GO_CHROMOSOME_LOCALIZATION	1.0	0.8448928327723899	0	76	1.0
GO_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	1.0	0.9839371235991585	0	7	1.0
GO_CHROMOSOME_ORGANIZATION	1.0	0.07764796473934993	0	1123	1.0
GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	1.0	0.866487387845105	0	66	1.0
GO_CHROMOSOME_SEGREGATION	1.0	0.4940461673006759	0	321	1.0
GO_CHROMOSOME_SEPARATION	1.0	0.827140921549725	0	88	1.0
GO_CHRONIC_INFLAMMATORY_RESPONSE	1.0	0.9619337445216511	0	19	1.0
GO_CHYLOMICRON_ASSEMBLY	1.0	0.981651806150736	0	10	1.0
GO_CHYLOMICRON_REMODELING	1.0	0.9842893230364513	0	9	1.0
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING	1.0	0.8093357523492082	0	95	1.0
GO_CILIARY_NEUROTROPHIC_FACTOR_MEDIATED_SIGNALING_PATHWAY	1.0	0.9885508986750157	0	5	1.0
GO_CILIUM_MOVEMENT	1.0	0.8527910183194659	0	72	1.0
GO_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY	1.0	0.9508564244158428	0	23	1.0
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	1.0	0.7913818453553018	0	111	1.0
GO_CILIUM_ORGANIZATION	1.0	0.4340240626506152	0	373	1.0
GO_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION	1.0	0.8696451427570381	0	62	1.0
GO_CIRCADIAN_RHYTHM	1.0	0.6350715798579244	0	206	1.0
GO_CIRCADIAN_SLEEP_WAKE_CYCLE	1.0	0.950128340443298	0	26	1.0
GO_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP	1.0	0.9814787578856472	0	9	1.0
GO_CIRCADIAN_SLEEP_WAKE_CYCLE_REM_SLEEP	1.0	0.9889295520044964	0	6	1.0
GO_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP	1.0	0.9616067485417514	0	20	1.0
GO_CITRATE_METABOLIC_PROCESS	1.0	0.9886064788179556	0	5	1.0
GO_CITRULLINE_BIOSYNTHETIC_PROCESS	1.0	0.9886537666414579	0	5	1.0
GO_CITRULLINE_METABOLIC_PROCESS	1.0	0.9826246370967774	0	8	1.0
GO_CLATHRIN_DEPENDENT_ENDOCYTOSIS	1.0	0.9117689236451127	0	41	1.0
GO_CLEAVAGE_FURROW_FORMATION	1.0	0.9848683196596912	0	7	1.0
GO_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	1.0	0.9584701988464431	0	21	1.0
GO_CLUSTERING_OF_VOLTAGE_GATED_SODIUM_CHANNELS	1.0	0.9862280023700524	0	6	1.0
GO_COBALAMIN_METABOLIC_PROCESS	1.0	0.9606874102052659	0	20	1.0
GO_COBALAMIN_TRANSPORT	1.0	0.9852311657369989	0	7	1.0
GO_COBALT_ION_TRANSPORT	1.0	0.9890913964706245	0	5	1.0
GO_COENZYME_A_BIOSYNTHETIC_PROCESS	1.0	0.978315695574729	0	10	1.0
GO_COENZYME_A_METABOLIC_PROCESS	1.0	0.9678778486915447	0	15	1.0
GO_COENZYME_BIOSYNTHETIC_PROCESS	1.0	0.731112152396292	0	145	1.0
GO_COENZYME_CATABOLIC_PROCESS	1.0	0.9689826237247535	0	15	1.0
GO_COENZYME_METABOLIC_PROCESS	1.0	0.5812863593637624	0	253	1.0
GO_COENZYME_TRANSPORT	1.0	0.9799099403102757	0	9	1.0
GO_COFACTOR_BIOSYNTHETIC_PROCESS	1.0	0.6157297452035853	0	227	1.0
GO_COFACTOR_CATABOLIC_PROCESS	1.0	0.8821352742893717	0	66	1.0
GO_COFACTOR_TRANSPORT	1.0	0.9105548035748802	0	43	1.0
GO_COHESIN_LOADING	1.0	0.9862562959035284	0	6	1.0
GO_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY	1.0	0.967621432805691	0	14	1.0
GO_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.9741423750194829	0	11	1.0
GO_COLLAGEN_BIOSYNTHETIC_PROCESS	1.0	0.9059347838173686	0	52	1.0
GO_COLLAGEN_CATABOLIC_PROCESS	1.0	0.9046367716849011	0	47	1.0
GO_COLLAGEN_FIBRIL_ORGANIZATION	1.0	0.8853709838154684	0	55	1.0
GO_COLLAGEN_METABOLIC_PROCESS	1.0	0.793434575151383	0	114	1.0
GO_COLLATERAL_SPROUTING	1.0	0.9408080360449065	0	27	1.0
GO_COLLATERAL_SPROUTING_IN_ABSENCE_OF_INJURY	1.0	0.988635132685555	0	5	1.0
GO_COLLECTING_DUCT_DEVELOPMENT	1.0	0.9707484338396968	0	13	1.0
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	1.0	0.8804385454157844	0	58	1.0
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	1.0	0.7795818760329104	0	114	1.0
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	1.0	0.9852176167459996	0	7	1.0
GO_COMMA_SHAPED_BODY_MORPHOGENESIS	1.0	0.9874923380363507	0	6	1.0
GO_COMMISSURAL_NEURON_AXON_GUIDANCE	1.0	0.9719766295630716	0	12	1.0
GO_COMMITMENT_OF_NEURONAL_CELL_TO_SPECIFIC_NEURON_TYPE_IN_FOREBRAIN	1.0	0.984091915666554	0	7	1.0
GO_COMMON_BILE_DUCT_DEVELOPMENT	1.0	0.9889189120266821	0	5	1.0
GO_COMMON_MYELOID_PROGENITOR_CELL_PROLIFERATION	1.0	0.9851900604607605	0	7	1.0
GO_COMMON_PARTNER_SMAD_PROTEIN_PHOSPHORYLATION	1.0	0.9861740462185037	0	6	1.0
GO_COMPARTMENT_PATTERN_SPECIFICATION	1.0	0.9887330000943139	0	5	1.0
GO_COMPLEMENT_ACTIVATION	1.0	0.8664110272724656	0	71	1.0
GO_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	1.0	0.9688791912942457	0	16	1.0
GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	1.0	0.977134802803189	0	11	1.0
GO_COMPLEMENT_DEPENDENT_CYTOTOXICITY	1.0	0.9792437887634291	0	10	1.0
GO_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	1.0	0.975032751382297	0	12	1.0
GO_CONDITIONED_TASTE_AVERSION	1.0	0.9886948578773946	0	5	1.0
GO_CONNECTIVE_TISSUE_REPLACEMENT	1.0	0.9718846765175325	0	20	1.0
GO_CONVERGENT_EXTENSION	1.0	0.966857169897326	0	15	1.0
GO_CONVERGENT_EXTENSION_INVOLVED_IN_AXIS_ELONGATION	1.0	0.984250250014845	0	7	1.0
GO_CONVERGENT_EXTENSION_INVOLVED_IN_GASTRULATION	1.0	0.9820792834181711	0	8	1.0
GO_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS	1.0	0.9869545301973058	0	6	1.0
GO_COP9_SIGNALOSOME_ASSEMBLY	1.0	0.9890072571196082	0	5	1.0
GO_COPI_COATED_VESICLE_BUDDING	1.0	0.986525516950488	0	6	1.0
GO_COPII_COATED_VESICLE_BUDDING	1.0	0.8532050098478418	0	73	1.0
GO_COPII_COATED_VESICLE_CARGO_LOADING	1.0	0.9688371576301291	0	14	1.0
GO_COPPER_ION_HOMEOSTASIS	1.0	0.9665662583483133	0	17	1.0
GO_COPPER_ION_IMPORT	1.0	0.9862006478330929	0	6	1.0
GO_COPPER_ION_TRANSMEMBRANE_TRANSPORT	1.0	0.987592131653038	0	6	1.0
GO_COPPER_ION_TRANSPORT	1.0	0.9631972054594069	0	18	1.0
GO_COPULATION	1.0	0.961313082469807	0	20	1.0
GO_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE	1.0	0.9799251263597861	0	9	1.0
GO_CORNIFICATION	1.0	0.7964943779047677	0	112	1.0
GO_CORONARY_ARTERY_MORPHOGENESIS	1.0	0.9791138047080918	0	9	1.0
GO_CORONARY_VASCULATURE_DEVELOPMENT	1.0	0.8927972107309274	0	51	1.0
GO_CORONARY_VASCULATURE_MORPHOGENESIS	1.0	0.9616445677135215	0	18	1.0
GO_CORPUS_CALLOSUM_DEVELOPMENT	1.0	0.9647432851856604	0	16	1.0
GO_CORPUS_CALLOSUM_MORPHOGENESIS	1.0	0.9865305554402403	0	6	1.0
GO_CORTICOSPINAL_TRACT_MORPHOGENESIS	1.0	0.9836131872937214	0	7	1.0
GO_CORTICOSTEROID_HORMONE_SECRETION	1.0	0.9686473905501282	0	16	1.0
GO_CORTICOSTEROID_RECEPTOR_SIGNALING_PATHWAY	1.0	0.9687882251198157	0	14	1.0
GO_CORTICOSTERONE_SECRETION	1.0	0.9909911719611051	0	5	1.0
GO_CORTICOTROPIN_SECRETION	1.0	0.9865616567611725	0	7	1.0
GO_CORTISOL_METABOLIC_PROCESS	1.0	0.9773693762336968	0	10	1.0
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1.0	0.8545349041395274	0	99	1.0
GO_COVALENT_CHROMATIN_MODIFICATION	1.0	0.35157643651279535	0	462	1.0
GO_CRANIAL_GANGLION_DEVELOPMENT	1.0	0.9862190265413726	0	6	1.0
GO_CRANIAL_NERVE_DEVELOPMENT	1.0	0.8957078290517094	0	51	1.0
GO_CRANIAL_NERVE_FORMATION	1.0	0.9807042674268327	0	9	1.0
GO_CRANIAL_NERVE_MORPHOGENESIS	1.0	0.9376535908311627	0	29	1.0
GO_CRANIAL_NERVE_STRUCTURAL_ORGANIZATION	1.0	0.9760529383812911	0	11	1.0
GO_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT	1.0	0.8615264077659586	0	66	1.0
GO_CRANIAL_SUTURE_MORPHOGENESIS	1.0	0.9826106519047216	0	8	1.0
GO_CRANIOFACIAL_SUTURE_MORPHOGENESIS	1.0	0.9627822173449699	0	17	1.0
GO_CRD_MEDIATED_MRNA_STABILIZATION	1.0	0.9883727079465873	0	5	1.0
GO_CREATINE_METABOLIC_PROCESS	1.0	0.983648578245436	0	8	1.0
GO_CRISTAE_FORMATION	1.0	0.9469950377222415	0	30	1.0
GO_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	1.0	0.9522369336964313	0	22	1.0
GO_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS	1.0	0.9681731382274279	0	14	1.0
GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	1.0	0.914290034420904	0	40	1.0
GO_CYCLOOXYGENASE_PATHWAY	1.0	0.9781727109689926	0	11	1.0
GO_CYSTEINE_METABOLIC_PROCESS	1.0	0.9748881005777599	0	12	1.0
GO_CYTIDINE_TO_URIDINE_EDITING	1.0	0.9764169937622299	0	12	1.0
GO_CYTOCHROME_COMPLEX_ASSEMBLY	1.0	0.9406575830270649	0	33	1.0
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	1.0	0.907852145702122	0	49	1.0
GO_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	1.0	0.9603111076898261	0	19	1.0
GO_CYTOKINESIS	1.0	0.7063618878766259	0	157	1.0
GO_CYTOKINETIC_PROCESS	1.0	0.9190323381222428	0	39	1.0
GO_CYTOLYSIS	1.0	0.9235479000954396	0	41	1.0
GO_CYTOLYSIS_IN_OTHER_ORGANISM	1.0	0.9834314683448818	0	9	1.0
GO_CYTOPLASM_ORGANIZATION	1.0	0.9773020418759405	0	10	1.0
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	1.0	0.8847040753597896	0	53	1.0
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	1.0	0.9534683551620132	0	21	1.0
GO_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1.0	0.8707379046431528	0	62	1.0
GO_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY_IN_RESPONSE_TO_VIRUS	1.0	0.944110143120865	0	26	1.0
GO_CYTOPLASMIC_SEQUESTERING_OF_NF_KAPPAB	1.0	0.9862100368835252	0	7	1.0
GO_CYTOPLASMIC_SEQUESTERING_OF_PROTEIN	1.0	0.9493505352917198	0	24	1.0
GO_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR	1.0	0.9648825208291575	0	17	1.0
GO_CYTOPLASMIC_TRANSLATION	1.0	0.8312552468658863	0	97	1.0
GO_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	1.0	0.9781943725008134	0	10	1.0
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION	1.0	0.9370206647404392	0	31	1.0
GO_CYTOSKELETAL_ANCHORING_AT_NUCLEAR_MEMBRANE	1.0	0.9797874343483071	0	9	1.0
GO_CYTOSKELETAL_ANCHORING_AT_PLASMA_MEMBRANE	1.0	0.9785551664905607	0	9	1.0
GO_CYTOSKELETON_DEPENDENT_CYTOKINESIS	1.0	0.829179020867001	0	85	1.0
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	1.0	0.6710316154526543	0	180	1.0
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT	1.0	0.6725222745042736	0	182	1.0
GO_CYTOSOLIC_TRANSPORT	1.0	0.7018648109437274	0	156	1.0
GO_D_AMINO_ACID_TRANSPORT	1.0	0.9840374883332448	0	7	1.0
GO_DATP_METABOLIC_PROCESS	1.0	0.990743915050182	0	5	1.0
GO_DE_NOVO_CENTRIOLE_ASSEMBLY	1.0	0.9890808206306859	0	5	1.0
GO_DE_NOVO_IMP_BIOSYNTHETIC_PROCESS	1.0	0.9867639203635322	0	6	1.0
GO_DE_NOVO_NAD_BIOSYNTHETIC_PROCESS_FROM_TRYPTOPHAN	1.0	0.9859469986346684	0	7	1.0
GO_DE_NOVO_PROTEIN_FOLDING	1.0	0.9170975918586249	0	40	1.0
GO_DE_NOVO_PYRIMIDINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS	1.0	0.9860945524921334	0	6	1.0
GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	1.0	0.9781689723381946	0	10	1.0
GO_DEATH_INDUCING_SIGNALING_COMPLEX_ASSEMBLY	1.0	0.9815669401239776	0	9	1.0
GO_DECIDUALIZATION	1.0	0.9497983230402586	0	24	1.0
GO_DEDIFFERENTIATION	1.0	0.9788895856040812	0	12	1.0
GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	1.0	0.8515568245134079	0	92	1.0
GO_DEFINITIVE_ERYTHROCYTE_DIFFERENTIATION	1.0	0.9888539006153627	0	5	1.0
GO_DEFINITIVE_HEMOPOIESIS	1.0	0.9557580346658517	0	20	1.0
GO_DEHYDROASCORBIC_ACID_TRANSPORT	1.0	0.9867734485215621	0	6	1.0
GO_DELAMINATION	1.0	0.9888726473721084	0	5	1.0
GO_DENDRITE_ARBORIZATION	1.0	0.984379440468592	0	7	1.0
GO_DENDRITE_EXTENSION	1.0	0.9268328666051128	0	34	1.0
GO_DENDRITE_MORPHOGENESIS	1.0	0.7206928153064387	0	143	1.0
GO_DENDRITE_SELF_AVOIDANCE	1.0	0.9641295116470305	0	16	1.0
GO_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	1.0	0.9758371038514068	0	12	1.0
GO_DENDRITIC_CELL_APOPTOTIC_PROCESS	1.0	0.9798745279482839	0	10	1.0
GO_DENDRITIC_CELL_CYTOKINE_PRODUCTION	1.0	0.9711254426096071	0	13	1.0
GO_DENDRITIC_CELL_DIFFERENTIATION	1.0	0.9188974594223835	0	42	1.0
GO_DENDRITIC_CELL_MIGRATION	1.0	0.9421222218089624	0	28	1.0
GO_DENDRITIC_SPINE_DEVELOPMENT	1.0	0.7975740794671998	0	99	1.0
GO_DENDRITIC_SPINE_MAINTENANCE	1.0	0.9572974410801713	0	20	1.0
GO_DENDRITIC_SPINE_MORPHOGENESIS	1.0	0.871179997864771	0	60	1.0
GO_DENDRITIC_TRANSPORT	1.0	0.9793310718712087	0	9	1.0
GO_DENSE_CORE_GRANULE_EXOCYTOSIS	1.0	0.97907235496488	0	9	1.0
GO_DENSE_CORE_GRANULE_TRANSPORT	1.0	0.9812966544333233	0	8	1.0
GO_DENTATE_GYRUS_DEVELOPMENT	1.0	0.9649299409635075	0	16	1.0
GO_DENTINOGENESIS	1.0	0.9844049285984952	0	7	1.0
GO_DEOXYRIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	1.0	0.9880606925030847	0	6	1.0
GO_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	1.0	0.9841345344675253	0	8	1.0
GO_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	1.0	0.9815786666071804	0	9	1.0
GO_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1.0	0.9768291554874219	0	12	1.0
GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	1.0	0.9879181333145544	0	6	1.0
GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	1.0	0.9847427787745	0	8	1.0
GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	1.0	0.9676174531337739	0	17	1.0
GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS	1.0	0.971146396038079	0	14	1.0
GO_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	1.0	0.9341521708537731	0	34	1.0
GO_DEOXYRIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	1.0	0.9778197573073208	0	11	1.0
GO_DEOXYRIBOSE_PHOSPHATE_CATABOLIC_PROCESS	1.0	0.9613927916001991	0	20	1.0
GO_DEPHOSPHORYLATION	1.0	0.3440564872653004	0	477	1.0
GO_DEPHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN	1.0	0.9891194105841059	0	5	1.0
GO_DEPYRIMIDINATION	1.0	0.9842135497993744	0	8	1.0
GO_DERMATAN_SULFATE_METABOLIC_PROCESS	1.0	0.9707811658178129	0	13	1.0
GO_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	1.0	0.9644056103792654	0	16	1.0
GO_DESMOSOME_ORGANIZATION	1.0	0.9771148958677455	0	10	1.0
GO_DETECTION_OF_ABIOTIC_STIMULUS	1.0	0.739030158140157	0	138	1.0
GO_DETECTION_OF_BIOTIC_STIMULUS	1.0	0.93656112835451	0	31	1.0
GO_DETECTION_OF_CALCIUM_ION	1.0	0.971702059942779	0	13	1.0
GO_DETECTION_OF_CELL_DENSITY	1.0	0.9805302441726041	0	9	1.0
GO_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	1.0	0.9235074036513866	0	45	1.0
GO_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS	1.0	0.9610188664759911	0	19	1.0
GO_DETECTION_OF_LIGHT_STIMULUS	1.0	0.8532027112140096	0	74	1.0
GO_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	1.0	0.9603937455979225	0	18	1.0
GO_DETECTION_OF_MECHANICAL_STIMULUS	1.0	0.9020722022054619	0	45	1.0
GO_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	1.0	0.9342337152719051	0	30	1.0
